run_label,bins,bin_width_ticks,bin_width_us,dt_min,dt_max,V10_min,V11_min,n_candidate,n_fit_bins,ndf,tau_us,tau_us_err,chi2,reduced_chi2
DiRPi29 Run4327 DiRPi33 Run45 DiRPi34 Run35,50,10.0,0.25,90,500,30,30,731,39,36,1.9134975727606418,0.13152526820454305,31.881367602722076,0.8855935445200577
DiRPi35 Run36 DiRPi29 Run4351 DiRPi33 Run64,50,10.0,0.25,90,500,30,30,164,28,25,1.719604538715922,0.37555793314157415,21.596792958070385,0.8638717183228154
DiRPi35 Run37 DiRPi29 Run4352 DiRPi33 Run65,50,10.0,0.25,90,500,30,30,35,16,13,2.5608431446535542,3.8705756186547298,5.1862709071361905,0.3989439159335531
DiRPi35 Run39 DiRPi29 Run4353 DiRPi33 Run66,50,10.0,0.25,90,500,30,30,169,25,22,1.2549638754184842,0.2038123353785089,16.44517907336518,0.7475081396984172
DiRPi29 Run4325 DiRPi33 Run43 DiRPi34 Run33,50,10.0,0.25,100,500,30,30,1171,40,37,2.1306780708459523,0.1343110273026441,42.95561571858069,1.1609625869886673
DiRPi29 Run4326 DiRPi33 Run44 DiRPi34 Run34,50,10.0,0.25,100,500,30,30,1146,39,36,1.9495505649130322,0.10984606855064497,38.071547066301534,1.0575429740639315
DiRPi29 Run4327 DiRPi33 Run45 DiRPi34 Run35,50,10.0,0.25,100,500,30,30,651,38,35,1.8809573784282436,0.1414726260796935,31.582589877607113,0.9023597107887746
DiRPi35 Run36 DiRPi29 Run4351 DiRPi33 Run64,50,10.0,0.25,100,500,30,30,145,27,24,1.8049793546683537,0.45089279692676326,21.269811068270638,0.8862421278446099
DiRPi35 Run37 DiRPi29 Run4352 DiRPi33 Run65,50,10.0,0.25,100,500,30,30,33,15,12,1.518053031975361,1.6041015571817265,4.221794008865374,0.35181616740544785
DiRPi35 Run39 DiRPi29 Run4353 DiRPi33 Run66,50,10.0,0.25,100,500,30,30,149,24,21,1.079011789778019,0.19151116684977354,14.351525287331354,0.6834059660633978
DiRPi29 Run4325 DiRPi33 Run43 DiRPi34 Run33,100,5.0,0.125,60,500,30,30,1900,87,84,1.9052215179222847,0.07570101980899557,100.87999241663042,1.2009522906741716
DiRPi29 Run4326 DiRPi33 Run44 DiRPi34 Run34,100,5.0,0.125,60,500,30,30,1855,83,80,1.87944632029642,0.07474760884002865,76.60623544221306,0.9575779430276633
DiRPi29 Run4327 DiRPi33 Run45 DiRPi34 Run35,100,5.0,0.125,60,500,30,30,1035,75,72,1.8021286308831799,0.1037284054944039,80.73413553508682,1.121307437987317
DiRPi35 Run36 DiRPi29 Run4351 DiRPi33 Run64,100,5.0,0.125,60,500,30,30,222,55,52,1.8888655461900197,0.4363451715825978,34.11225791307667,0.656004959866859
DiRPi35 Run37 DiRPi29 Run4352 DiRPi33 Run65,100,5.0,0.125,60,500,30,30,56,29,26,0.5245331112684144,0.4221550104113,6.050171328861932,0.23269889726392046
DiRPi35 Run39 DiRPi29 Run4353 DiRPi33 Run66,100,5.0,0.125,60,500,30,30,233,49,46,1.6645297890136803,0.31752974710953585,33.51152144137269,0.7285113356820151
DiRPi29 Run4325 DiRPi33 Run43 DiRPi34 Run33,100,5.0,0.125,80,500,30,30,1500,83,80,1.8825498228956037,0.09072045954123115,97.24167972229301,1.2155209965286626
DiRPi29 Run4326 DiRPi33 Run44 DiRPi34 Run34,100,5.0,0.125,80,500,30,30,1442,79,76,1.910956736256624,0.0924642668677855,71.89536453886006,0.9459916386692114
DiRPi29 Run4327 DiRPi33 Run45 DiRPi34 Run35,100,5.0,0.125,80,500,30,30,803,71,68,1.8587450024005436,0.13257060238966797,79.23248854325858,1.1651836550479204
DiRPi35 Run36 DiRPi29 Run4351 DiRPi33 Run64,100,5.0,0.125,80,500,30,30,180,51,48,1.6511102274628109,0.44903560441447576,28.13674888831633,0.5861822685065902
DiRPi35 Run37 DiRPi29 Run4352 DiRPi33 Run65,100,5.0,0.125,80,500,30,30,42,25,22,0.9172242284775074,1.5066056333633626,5.1838772473852215,0.23563078397205553
DiRPi35 Run39 DiRPi29 Run4353 DiRPi33 Run66,100,5.0,0.125,80,500,30,30,183,45,42,1.740172033011886,0.4225999214785901,31.837654702067006,0.758039397668262
DiRPi29 Run4325 DiRPi33 Run43 DiRPi34 Run33,100,5.0,0.125,100,500,30,30,1171,79,76,1.9516154803931807,0.11791674117130863,93.69955468419167,1.2328888774235747
DiRPi29 Run4326 DiRPi33 Run44 DiRPi34 Run34,100,5.0,0.125,100,500,30,30,1146,75,72,1.8316101712283182,0.10621738183422316,67.71016987907498,0.9404190260982637
DiRPi29 Run4327 DiRPi33 Run45 DiRPi34 Run35,100,5.0,0.125,100,500,30,30,651,67,64,1.655505012725344,0.13835036167126966,70.78993011157897,1.1060926579934214
DiRPi35 Run36 DiRPi29 Run4351 DiRPi33 Run64,100,5.0,0.125,100,500,30,30,145,47,44,1.6538520784187651,0.5783969715954017,26.641633592991905,0.6054916725679979
DiRPi35 Run37 DiRPi29 Run4352 DiRPi33 Run65,100,5.0,0.125,100,500,30,30,33,22,19,4.8200632516142266,37.54632643832246,3.242689904341275,0.17066788970217237
DiRPi35 Run39 DiRPi29 Run4353 DiRPi33 Run66,100,5.0,0.125,100,500,30,30,149,41,38,1.026798632452841,0.23878149098233933,18.035353214281614,0.47461455827056875
DiRPi29 Run4325 DiRPi33 Run43 DiRPi34 Run33,20,25.0,0.625,50,500,40,40,1800,18,15,2.0512793067433885,0.08234921987620009,27.30398774067059,1.8202658493780393
DiRPi29 Run4326 DiRPi33 Run44 DiRPi34 Run34,20,25.0,0.625,50,500,40,40,1746,18,15,1.9670073846278051,0.07812109622559744,7.1857697331568415,0.47905131554378944
DiRPi29 Run4327 DiRPi33 Run45 DiRPi34 Run35,20,25.0,0.625,50,500,40,40,999,18,15,2.089792391207094,0.10958138850157405,10.047336806424688,0.6698224537616458
DiRPi35 Run36 DiRPi29 Run4351 DiRPi33 Run64,20,25.0,0.625,50,500,40,40,221,15,12,2.2236867509615865,0.30385633516173716,10.122789501720534,0.8435657918100445
DiRPi35 Run37 DiRPi29 Run4352 DiRPi33 Run65,20,25.0,0.625,50,500,40,40,55,11,8,1.6304816858773261,0.5656670005301663,3.0872960405726593,0.3859120050715824
DiRPi35 Run39 DiRPi29 Run4353 DiRPi33 Run66,20,25.0,0.625,50,500,40,40,228,15,12,1.9466210646739244,0.2160003361643304,9.629693615086184,0.8024744679238487
DiRPi29 Run4325 DiRPi33 Run43 DiRPi34 Run33,20,25.0,0.625,75,500,40,40,1344,17,14,2.04103883821018,0.10380645740481942,27.282221303760927,1.9487300931257805
DiRPi29 Run4326 DiRPi33 Run44 DiRPi34 Run34,20,25.0,0.625,75,500,40,40,1276,17,14,2.0060525947567878,0.10131368148940126,6.753476372517315,0.48239116946552246
DiRPi29 Run4327 DiRPi33 Run45 DiRPi34 Run35,20,25.0,0.625,75,500,40,40,745,17,14,2.075660185929198,0.1344608047329812,10.012478620612612,0.7151770443294723
DiRPi35 Run36 DiRPi29 Run4351 DiRPi33 Run64,20,25.0,0.625,75,500,40,40,171,14,11,2.1335364828456154,0.3585421426477017,9.983237115641028,0.9075670105128207
DiRPi35 Run37 DiRPi29 Run4352 DiRPi33 Run65,20,25.0,0.625,75,500,40,40,39,10,7,1.743567488908755,0.8529804090096462,3.020813963330581,0.4315448519043687
DiRPi35 Run39 DiRPi29 Run4353 DiRPi33 Run66,20,25.0,0.625,75,500,40,40,172,14,11,1.8392431729997203,0.24246058126769807,8.897265893429656,0.8088423539481506
DiRPi29 Run4325 DiRPi33 Run43 DiRPi34 Run33,20,25.0,0.625,100,500,40,40,973,16,13,2.253942116763254,0.156194827823715,21.613259280528336,1.6625584061944874
DiRPi29 Run4326 DiRPi33 Run44 DiRPi34 Run34,20,25.0,0.625,100,500,40,40,958,16,13,1.9251214795794303,0.12073858433397061,5.719170607104131,0.4399362005464716
DiRPi29 Run4327 DiRPi33 Run45 DiRPi34 Run35,20,25.0,0.625,100,500,40,40,562,16,13,1.9875951112502266,0.15755841835416376,9.161539911411824,0.7047338393393711
DiRPi35 Run36 DiRPi29 Run4351 DiRPi33 Run64,20,25.0,0.625,100,500,40,40,129,13,10,2.2435249839041584,0.5024826471136014,9.858543414648727,0.9858543414648727
DiRPi35 Run37 DiRPi29 Run4352 DiRPi33 Run65,20,25.0,0.625,100,500,40,40,29,9,6,1.681630923639984,1.0553727526924541,3.005807792587221,0.5009679654312035
DiRPi35 Run39 DiRPi29 Run4353 DiRPi33 Run66,20,25.0,0.625,100,500,40,40,134,13,10,1.4423172231921655,0.2151226376216896,2.6884478302105603,0.268844783021056
DiRPi29 Run4325 DiRPi33 Run43 DiRPi34 Run33,25,20.0,0.5,60,500,40,40,1583,22,19,2.040589652466147,0.09039352292853019,26.207655065693082,1.3793502666154254
DiRPi29 Run4326 DiRPi33 Run44 DiRPi34 Run34,25,20.0,0.5,60,500,40,40,1562,22,19,1.9668067116645653,0.08265642852013123,17.466141399238982,0.9192705999599464
DiRPi29 Run4327 DiRPi33 Run45 DiRPi34 Run35,25,20.0,0.5,60,500,40,40,893,22,19,2.0170147918089643,0.11342077085565257,20.092934941812416,1.0575228916743378
DiRPi35 Run36 DiRPi29 Run4351 DiRPi33 Run64,25,20.0,0.5,60,500,40,40,196,18,15,2.1857107142042693,0.3506075693842172,14.886277459229294,0.992418497281953
DiRPi35 Run37 DiRPi29 Run4352 DiRPi33 Run65,25,20.0,0.5,60,500,40,40,50,12,9,1.492156201712492,0.5851588380876561,3.220305540126278,0.35781172668069755
